scenario_id,message_text,bias_type,channel,difficulty,tactic_explanation,defense_tip
F002,"Following up on our conversation last week please find the document you requested attached.",familiarity,email,hard,"Fabricated prior interaction lowers suspicion","If you do not recall a conversation verify with the sender through a known contact method."
F003,"Hey it is Mike from the help desk. We spoke earlier about your VPN issue. Here is the fix I mentioned.",familiarity,email,hard,"Callback scam references a plausible prior interaction","If you did not log a help desk ticket contact the help desk directly to verify."
F004,"Hi I am reaching out on behalf of your colleague David who said you would be happy to help with this request.",familiarity,email,medium,"Name-drop plus favour request using trusted colleague","Contact David directly to verify before taking any action."
F005,"This is a follow-up from the IT security briefing you attended. Please complete the attached assessment.",familiarity,email,hard,"References a real event to create false legitimacy","Verify follow-up requests from events through the official event organizer."
F006,"Hi we noticed you recently searched for VPN solutions. Here is a recommendation from our security team.",familiarity,email,hard,"Behavioral targeting creates uncanny familiarity","Companies do not monitor your searches. This is social engineering using guessed context."
F007,"Hi I saw your LinkedIn profile and wanted to connect regarding a security role at our firm. Please review the attached.",familiarity,email,hard,"Professional context plus LinkedIn reference lowers guard on malicious attachment","Never open unsolicited attachments. Verify the sender independently before engaging."
F008,"Hi I am following up on the contract you discussed with our team last quarter. Please review the attached update.",familiarity,email,hard,"References a business relationship to lower guard on attachment","Contact the company directly through known channels to verify any contract updates."
F009,"This is a reminder from your insurance provider following your recent claim. Please review the attached settlement.",familiarity,email,hard,"Insurance claim familiarity makes the attachment feel expected","Contact your insurance provider directly using the number on your policy documents."
F010,"Hi Alex from accounting mentioned you handle vendor payments. Can you process this invoice before end of day?",familiarity,email,hard,"Name-drops an internal contact to exploit helpfulness","Verify with Alex directly by phone or in person before processing any payments."
T001,"Warning: We have evidence of illegal activity linked to your account. Respond within 24 hours or face legal action.",fear,email,easy,"Legal threat creates panic and bypasses rational thinking","Legitimate legal issues are handled through official legal channels never email threats."
T002,"Your computer has been infected with malware. Call this number immediately to prevent data loss.",fear,browser_popup,easy,"Tech support scam using fear of data loss","Close the browser. Legitimate security software does not display phone numbers in popups."
T003,"Tax authority notice: You owe an outstanding balance. Failure to pay within 48 hours will result in arrest.",fear,phone,easy,"Government impersonation with arrest threat","Tax authorities communicate via official mail never phone calls demanding immediate payment."
T004,"Your personal data has been found on the dark web. Click here immediately to secure your accounts.",fear,email,medium,"Data breach fear is highly effective and topical","Use official services like HaveIBeenPwned to check. Never click unsolicited breach alert links."
T005,"Security audit results: Your device failed compliance checks. You must re-enroll or lose network access.",fear,email,medium,"Job or access threat in professional context is highly credible","Verify compliance status through your IT department directly."
T006,"We have recorded your screen during your recent session. Pay within 48 hours or this will be shared publicly.",fear,email,medium,"Sextortion format designed to cause shame-panic","These are always bluffs. Do not pay. Report to your IT security team immediately."
T007,"Final warning: Your account has been permanently suspended due to a policy violation. Appeal within 2 hours.",fear,email,hard,"Suspension threat plus tight appeal window causes panic","Log into your account directly to check its status. Do not click appeal links in emails."
T008,"Compliance breach detected: Your actions have been logged and will be reported to your manager unless resolved now.",fear,email,hard,"Professional accountability threat causes compliance anxiety","Report this email to your IT security team. This is a targeted social engineering attempt."
T009,"Automated alert: Unusual login from Russia detected. Your account will be locked unless you verify now.",fear,sms,hard,"Geographic threat plus account lock fear is highly effective","Check account activity directly through the official app never via SMS links."
T010,"Your device has been reported for suspicious activity. Immediate action required to prevent data loss.",fear,email,medium,"Device threat combined with data loss fear drives panic","Contact your IT department directly through official channels to verify any device alerts."
T011,"Important: Your health insurance will lapse tomorrow unless you resubmit your enrollment form now.",fear,email,hard,"Health coverage threat exploits personal security fears","Contact HR directly to verify insurance enrollment status never via email links."
T012,"We have detected that your credentials have been shared on a hacker forum. Secure your account immediately.",fear,email,medium,"Credential exposure fear is highly effective","Check HaveIBeenPwned directly and change passwords through official account settings."
T013,"Compliance violation detected on your account. This will be escalated to management unless resolved today.",fear,email,hard,"Professional consequence threat creates compliance anxiety","Report this to your IT security team as a suspected phishing attempt."
